Disease,week_of_year,district,state_ut,temp_celsius,preci,Cases
Acute Diarrhoeal Disease,15,Rajkot,Gujarat,48.4066666,6.94E-05,70
Acute Diarrhoeal Disease,15,Ariyalur,Tamil Nadu,40.814,0.013839851,11
Acute Diarrhoeal Disease,15,Bankura,West Bengal,36.19,0.096269712,83
Malaria,15,Pathanamthitta,Kerala,29.382,0.189652664,3
Acute Diarrhoeal Disease,16,Kurnool,Andhra Pradesh,44.006,0.026157584,42
Acute Diarrhoeal Disease,16,Kanker,Chhattisgarh,39.614,0.047909433,104
Chikungunya,16,Belagavi,Karnataka,43.454,0.104341641,13
Acute Diarrhoeal Disease,16,Dhar,Madhya Pradesh,46.266,0.082095097,12
Acute Diarrhoeal Disease,16,Jajpur,Odisha,36.294,0.063467489,16
Acute Diarrhoeal Disease,16,S.A.S Nagar,Punjab,33.3966666,0.399725486,18
Acute Diarrhoeal Disease,16,Nadia,West Bengal,30.0733334,0.215991275,332
Dengue,16,North Goa,Goa,34.8266666,0.00031771,5
Acute Diarrhoeal Disease,17,Lakhimpur,Assam,27.55,0.67483186,37
Acute Diarrhoeal Disease,17,Nagaon,Assam,28.906,0.07967517,20
Acute Diarrhoeal Disease,17,Sonitpur (Tezpur),Assam,26.95,0.322215395,22
Acute Diarrhoeal Disease,17,Udalguri,Assam,26.154,0.032530689,52
Acute Diarrhoeal Disease,17,Mandi,Himachal Pradesh,24.922,0.392875495,74
Acute Diarrhoeal Disease,17,Kaithal,Haryana,36.7433334,0.040919187,28
Dengue,17,Raichur,Karnataka,49.278,0.00145259,7
Malaria,18,Nagaon,Assam,28.49,0.720231476,9
Acute Diarrhoeal Disease,18,Villupuram - Kallakurichi,Tamil Nadu,41.705,0.00673435,22
Acute Diarrhoeal Disease,18,Rampurhat,West Bengal,34.1133334,0.124360335,72
Acute Diarrhoeal Disease,19,Dibrugarh,Assam,21.23,0.889684084,9
Cholera,19,Wayanad,Kerala,29.1166666,0.270084484,15
Acute Diarrhoeal Disease,19,Kalahandi,Odisha,41.1466666,0.001358606,27
Acute Diarrhoeal Disease,19,Balangir,Odisha,40.906,0.021549092,17
Acute Diarrhoeal Disease,19,Dindigul - Palani,Tamil Nadu,31.775,0.15330884,19
Acute Diarrhoeal Disease,20,Guntur,Andhra Pradesh,41.874,0.006561508,23
Acute Diarrhoeal Disease,20,Visakhapatnam,Andhra Pradesh,35.442,0.025333748,16
Acute Diarrhoeal Disease,20,Koppal,Karnataka,43.59,0.004287511,49
Acute Diarrhoeal Disease,20,Khargone,Madhya Pradesh,49.866,0.000983568,49
Cholera,20,Howrah,West Bengal,31.9433334,0.621504878,108
Dengue,20,South Goa,Goa,34.5566666,0.003058369,17
Malaria,21,Dhubri,Assam,25.406,0.769246917,12
Acute Diarrhoeal Disease,21,Mahasamund,Chhattisgarh,44.306,0.014056752,34
Acute Diarrhoeal Disease,21,Kheda,Gujarat,44.4433334,7.54E-05,55
Acute Diarrhoeal Disease,21,Dharwad,Karnataka,45.355,0.082119909,96
Chikungunya,21,Devbhoomi Dwarka,Gujarat,42.886,0.000265266,5
Dengue,21,Chikkamagaluru,Karnataka,31.27,0.170126759,45
Acute Diarrhoeal Disease,22,Dhemaji,Assam,25.846,0.134382796,15
Acute Diarrhoeal Disease,22,Doda,Jammu and Kashmir,17.49,0.65108728,615
Dengue,22,Belagavi,Karnataka,41.0833334,0.11950825,7
Acute Diarrhoeal Disease,22,Raigad,Maharashtra,39.946,0.003058341,53
Chikungunya,22,Madurai,Tamil Nadu,41.815,0.039587779,79
Acute Diarrhoeal Disease,23,Andaman,Andaman and Nicobar Islands,28.57,0.77260494,8
Acute Diarrhoeal Disease,23,Kra Daadi,Arunachal Pradesh,25.9633334,0.571454548,27
Acute Diarrhoeal Disease,23,Dumka,Jharkhand,33.2666666,0.269087412,67
Acute Diarrhoeal Disease,23,Hassan,Karnataka,31.88,0.402262724,60
Acute Diarrhoeal Disease,23,Kalaburagi,Karnataka,43.1633334,0.091253067,21
Chikungunya,23,Shimoga,Karnataka,34.8433334,0.142101161,32
Dengue,23,Dharmapuri,Tamil Nadu,34.5,0.419423772,63
Acute Diarrhoeal Disease,23,Basirhat,West Bengal,27.518,1.666489829,27
Acute Diarrhoeal Disease,23,Kamrup,Assam,31.3966666,0.378304455,13
Acute Diarrhoeal Disease,23,Rajnandgaon,Chhattisgarh,45.698,0.000151419,112
Acute Diarrhoeal Disease,23,Sahebganj,Jharkhand,32.0333334,0.056395304,30
Dengue,23,Idukki,Kerala,27.28,1.130569641,15
Dengue,23,Ernakulam,Kerala,30.06,0.453985858,36
Dengue,23,Chikkamagaluru,Karnataka,31.34,0.052583326,15
Dengue,23,Haveri,Karnataka,34.038,0.04261681,65
Acute Diarrhoeal Disease,23,Vijayapur,Karnataka,42.298,0.037986687,21
Acute Diarrhoeal Disease,23,Buldhana,Maharashtra,51.434,6.61E-05,48
Dengue,23,Palghar,Maharashtra,41.6033334,0.000274351,8
Dengue,23,Raigad,Maharashtra,42.2466666,0.000267569,24
Acute Diarrhoeal Disease,24,Janjgir,Chhattisgarh,37.1466666,0.00287831,24
Cholera,24,North Delhi,Delhi,43.4933334,0.063987912,4
Acute Diarrhoeal Disease,24,Mahesana,Gujarat,44.4466666,0.047598594,13
Cholera,24,Gandhi Nagar,Gujarat,42.45,7.08E-05,3
Acute Diarrhoeal Disease,24,Kalaburagi,Karnataka,41.8966666,0.129481388,40
Malaria,24,Sangli,Maharashtra,39.32,0.009114818,7
Acute Diarrhoeal Disease,24,Barwani,Madhya Pradesh,45.422,0.033130228,31
Acute Diarrhoeal Disease,24,Dhar,Madhya Pradesh,45.094,0.031164417,63
Acute Diarrhoeal Disease,24,Angul,Odisha,31.0966666,0.405350701,8
Cholera,24,Patiala,Punjab,42.06,0.024373841,141
Acute Diarrhoeal Disease,24,The Nilgiris,Tamil Nadu,28.4033334,1.149095645,16
Dengue,24,Dharmapuri,Tamil Nadu,35.665,0.066866906,52
Acute Diarrhoeal Disease,24,Auraiya,Uttar Pradesh,39.714,0.001052919,70
Acute Diarrhoeal Disease,24,Purulia,West Bengal,36.27,0.130734667,25
Dengue,24,Visakhapatnam,Andhra Pradesh,35.18,0.005092893,14
Acute Diarrhoeal Disease,24,Cachar,Assam,28.814,0.303114001,8
Acute Diarrhoeal Disease,24,Janjgir,Chhattisgarh,38.66,0.042124445,19
Chikungunya,24,Bangalore Urban,Karnataka,32.4233334,0.704766204,40
Acute Diarrhoeal Disease,24,Chandrapur,Maharashtra,43.722,0.008591163,142
Dengue,24,Sangli,Maharashtra,42.76,0.002000858,12
Chikungunya,24,Sangli,Maharashtra,42.8133334,0.001723798,10
Acute Diarrhoeal Disease,25,Chittoor,Andhra Pradesh,36.97,0.018587873,35
Acute Diarrhoeal Disease,25,Ahmedabad,Gujarat,36.0233334,0.162209421,34
Acute Diarrhoeal Disease,25,Poonch,Jammu and Kashmir,31.37,0.14774488,117
Dengue,25,Hassan,Karnataka,28.465,0.145649386,11
Dengue,25,Kasaragod,Kerala,28.35,1.897344269,19
Dengue,25,Wayanad,Kerala,26.382,0.566323293,17
Acute Diarrhoeal Disease,25,Sangli,Maharashtra,30.635,0.102474106,58
Acute Diarrhoeal Disease,25,Nimach,Madhya Pradesh,42.126,0.577007687,123
Malaria,25,Gomati,Tripura,28.57,0.386449642,190
Acute Diarrhoeal Disease,25,Burdwan,West Bengal,34.295,1.396773262,40
Acute Diarrhoeal Disease,25,Dibrugarh,Assam,29.17,0.565957878,70
Dengue,25,East Singhbhum,Jharkhand,34.822,0.026374902,8
Chikungunya,25,Chamarajanagar,Karnataka,30.334,0.278978016,32
Dengue,25,Dakshina Kannada,Karnataka,31.21,0.275121174,21
Dengue,25,Kolhapur,Maharashtra,34.86,0.332077824,7
Dengue,25,Satara,Maharashtra,34.145,0.461764852,6
Acute Diarrhoeal Disease,25,Bhind,Madhya Pradesh,44.9166666,0.011271843,34
Malaria,25,Bareilly,Uttar Pradesh,18.37,0.367634383,2102
Acute Diarrhoeal Disease,26,Rajnandgaon,Chhattisgarh,42.23,0.156967564,39
Malaria,26,East Singhbhum,Jharkhand,31,0.248615383,44
Malaria,26,West Singhbhum,Jharkhand,33.13,0.403702396,49
Malaria,26,Kasaragod,Kerala,24.75,2.082263409,5
Dengue,26,Bangalore Rural,Karnataka,33.23,0.37785281,27
Acute Diarrhoeal Disease,26,Gadchiroli,Maharashtra,43.14,0.546093974,11
Dengue,26,Raigad,Maharashtra,32.6566666,0.478885614,15
Acute Diarrhoeal Disease,26,Ratnagiri,Maharashtra,30.6,0.808898712,26
Acute Diarrhoeal Disease,26,Datia,Madhya Pradesh,41.4,0.075492134,17
Acute Diarrhoeal Disease,26,Muktsar,Punjab,35.786,0.093486401,12
Chikungunya,26,Dharmapuri,Tamil Nadu,38.23,0.134100416,39
Dengue,26,East Siang,Arunachal Pradesh,24.1233334,0.781718704,15
Acute Diarrhoeal Disease,26,Raipur,Chhattisgarh,44.65,0.10778177,39
Dengue,26,Ernakulam,Kerala,30.31,0.395232339,30
Dengue,26,Haveri,Karnataka,25.33,0.482722612,33
Chikungunya,26,Kolar,Karnataka,33.5766666,0.645942096,23
Acute Diarrhoeal Disease,27,Kadapa,Andhra Pradesh,40.79,0.227610976,282
Acute Diarrhoeal Disease,27,Vizianagaram,Andhra Pradesh,32.99,0.11624956,14
Acute Diarrhoeal Disease,27,Solan,Himachal Pradesh,29.8766666,0.399246008,46
Dengue,27,Bengaluru,Karnataka,33.61,0.072165261,13
Acute Diarrhoeal Disease,27,Alappuzha,Kerala,25.71,0.596471748,94
Acute Diarrhoeal Disease,27,Moga,Punjab,35.814,0.065487015,13
Acute Diarrhoeal Disease,27,Tiruvallur,Tamil Nadu,39.73,0.051428982,11
Dengue,27,Kadapa,Andhra Pradesh,40.79,0.283527357,6
Acute Diarrhoeal Disease,27,Jehanabad,Bihar,42.39,0.290669151,10
Acute Diarrhoeal Disease,27,Kawardha,Chhattisgarh,43.8566666,0.213429957,10
Acute Diarrhoeal Disease,27,Mandi,Himachal Pradesh,29.818,0.223847188,104
Chikungunya,27,Chikkaballapura,Karnataka,34.04,0.093299846,45
Acute Diarrhoeal Disease,27,Keonjhar,Odisha,30.64,0.1884897,13
Acute Diarrhoeal Disease,27,Mathura,Uttar Pradesh,41.1933334,0.037291808,194
Acute Diarrhoeal Disease,28,East Siang,Arunachal Pradesh,20.87,1.589279616,21
Acute Diarrhoeal Disease,28,Janjgir,Chhattisgarh,31.29,2.433206485,72
Acute Diarrhoeal Disease,28,Angul,Odisha,13.89,2.743778799,14
Acute Diarrhoeal Disease,28,Pratapgarh,Rajasthan,26.47,1.640495292,90
Dengue,28,Erode,Tamil Nadu,36.755,0.063680537,19
Acute Diarrhoeal Disease,28,Midnapore East,West Bengal,26.63,0.899982959,22
Acute Encephalitis Syndrome,28,Jehanabad,Bihar,44.826,0.021247397,4
Dengue,28,Ernakulam,Kerala,28.95,1.353752104,24
Dengue,28,Thane,Maharashtra,34.44,2.685362899,5
Dengue,28,Wanaparthy,Telangana,35.67,0.477125474,19
Acute Diarrhoeal Disease,28,Jalaun,Uttar Pradesh,40.018,0.080996507,47
Acute Diarrhoeal Disease,29,Vadodara,Gujarat,31.73,0.18298384,20
Acute Diarrhoeal Disease,29,Dumka,Jharkhand,32.3766666,0.186045406,16
Acute Diarrhoeal Disease,29,Kupwara,Jammu and Kashmir,19.8633334,0.157538138,21
Dengue,29,Bangalore Rural,Karnataka,35.12,0.087008889,28
Dengue,29,Davanagere,Karnataka,29.31,0.482292308,32
Acute Diarrhoeal Disease,29,Gadchiroli,Maharashtra,35.13,0.198719707,24
Acute Diarrhoeal Disease,29,Bolangir,Odisha,30.77,0.399953513,30
Acute Diarrhoeal Disease,29,Hoshiarpur,Punjab,22.79,0.569778147,11
Cholera,29,Gurdaspur,Punjab,27.0233334,0.375647551,2
Acute Diarrhoeal Disease,29,Baran,Rajasthan,34.85,1.833841153,59
Acute Diarrhoeal Disease,29,Jhalawar,Rajasthan,33.25,0.023448515,25
Acute Diarrhoeal Disease,29,Kanpur (Dehat),Uttar Pradesh,38.75,1.010539474,153
Acute Diarrhoeal Disease,29,Dehradun,Uttarakhand,22.82,1.157722778,29
Acute Diarrhoeal Disease,29,Janjgir,Chhattisgarh,29.93,0.544162448,13
Acute Diarrhoeal Disease,29,Surajpur,Chhattisgarh,42.006,0.001636848,74
Chikungunya,29,Dharwad,Karnataka,31.9,0.820630415,12
Chikungunya,29,Idukki,Kerala,26.16,0.730798617,10
Dengue,29,Satara,Maharashtra,43.9233334,0.000498516,28
Dengue,29,Thane,Maharashtra,36.11,0.751008266,5
Acute Diarrhoeal Disease,30,Balodabazar,Chhattisgarh,37.274,0.309319575,47
Cholera,30,North Delhi,Delhi,33.49,0.874836229,5
Acute Diarrhoeal Disease,30,Kheda,Gujarat,38.74,0.17660057,18
Cholera,30,Navsari,Gujarat,31.135,0.179575745,25
Chikungunya,30,Dharwad,Karnataka,35.97,0.661602422,6
Dengue,30,Mandya,Karnataka,34.17,0.505807713,19
Dengue,30,Raichur,Karnataka,37.39,0.27065639,4
Acute Diarrhoeal Disease,30,Palghar,Maharashtra,28.87,0.304042928,9
Acute Diarrhoeal Disease,30,S.A.S Nagar,Punjab,30.9833334,0.283665109,24
Acute Diarrhoeal Disease,30,Thiruvalluvar,Tamil Nadu,35.12,0.640574405,43
Acute Diarrhoeal Disease,30,Ghazipur,Uttar Pradesh,35.82,1.071848138,12
Acute Encephalitis Syndrome,30,Munger,Bihar,32.7233334,0.416330811,2
Dengue,30,Chikkaballapur,Karnataka,31.67,0.123835047,17
Malaria,30,Udupi,Karnataka,27.31,3.089131455,13
Acute Diarrhoeal Disease,30,Aligarh,Uttar Pradesh,26.71,0.138423648,75
Acute Diarrhoeal Disease,31,Tinsukia,Assam,28.61,0.941387245,10
Acute Diarrhoeal Disease,31,Pali,Rajasthan,29.66,1.240952559,15
Acute Diarrhoeal Disease,31,Medchal,Telangana,34.13,0.548851302,13
Acute Diarrhoeal Disease,31,Firozabad,Uttar Pradesh,38.36,1.205940721,32
Acute Diarrhoeal Disease,31,Durg,Chhattisgarh,34.98,0.497894955,40
Dengue,31,Chikkaballapur,Karnataka,30.13,0.900121243,28
Chikungunya,31,Dharwad,Karnataka,35.97,0.661602422,9
Acute Diarrhoeal Disease,31,Jabalpur,Madhya Pradesh,22.398,0.043180864,6
Acute Diarrhoeal Disease,31,Jabalpur,Madhya Pradesh,40.93,0.156327333,29
Acute Diarrhoeal Disease,31,Jabalpur,Madhya Pradesh,30.57,0.522160459,8
Dengue,31,Mahe,Puducherry,27.56,0.856317548,4
Acute Diarrhoeal Disease,31,Baran,Rajasthan,39.9166666,0.189243896,61
Acute Diarrhoeal Disease,31,Gonda,Uttar Pradesh,30.32,0.561485434,19
Chikungunya,31,East Siang,Arunachal Pradesh,20.87,1.589279616,77
Dengue,31,East Siang,Arunachal Pradesh,14.49,1.698544596,158
Acute Diarrhoeal Disease,31,Uttara Kannada,Karnataka,27.49,1.296575106,43
Acute Diarrhoeal Disease,32,Chikkaballapur,Karnataka,32.39,0.163654606,71
Dengue,32,Tumkur,Karnataka,33.19,0.20772999,14
Acute Diarrhoeal Disease,32,Datia,Madhya Pradesh,32.33,0.688295026,7
Acute Diarrhoeal Disease,32,Datia,Madhya Pradesh,32.33,0.624503848,20
Acute Diarrhoeal Disease,32,Rayagada,Odisha,27.61,1.409028237,13
Acute Diarrhoeal Disease,32,S.A.S Nagar,Punjab,30.7,0.700714647,10
Dengue,32,Bareilly,Uttar Pradesh,30.93,0.432719066,16
Acute Diarrhoeal Disease,32,Gonda,Uttar Pradesh,30.69,0.629128705,12
Dengue,32,Nadia,West Bengal,28.18,0.685644083,27
Acute Diarrhoeal Disease,32,Marigaon,Assam,27.28,1.01198966,31
Dengue,32,Imphal East,Manipur,25.95,0.759351964,29
Chikungunya,32,East Siang,Arunachal Pradesh,20.87,1.589279616,83
Dengue,32,East Siang,Arunachal Pradesh,24.1233334,0.781718704,168
Acute Diarrhoeal Disease,33,Balodabazar,Chhattisgarh,26.63,1.576523139,39
Acute Diarrhoeal Disease,33,Mandi,Himachal Pradesh,24.474,1.048003082,59
Acute Encephalitis Syndrome,33,Nagpur,Maharashtra,24.17,1.685334714,1
Acute Diarrhoeal Disease,33,Balasore,Odisha,31.0566666,0.662373663,18
Acute Diarrhoeal Disease,33,Balasore,Odisha,30.95,0.675593421,17
Acute Diarrhoeal Disease,33,Siddharth Nagar,Uttar Pradesh,27.64,0.782435654,9
Acute Diarrhoeal Disease,33,Tehri Garhwal,Uttarakhand,13.102,1.486027581,5
Dengue,33,Murshidabad,West Bengal,31.23,0.741628104,17
Acute Diarrhoeal Disease,33,Purulia,West Bengal,29.06,0.581780003,35
Chikungunya,33,Madurai,Tamil Nadu,43.39,0.004243494,32
Dengue,33,East Siang,Arunachal Pradesh,14.49,1.698544596,158
Chikungunya,33,East Siang,Arunachal Pradesh,20.87,1.589279616,77
Acute Diarrhoeal Disease,34,East Kameng,Arunachal Pradesh,17.9433334,1.301433854,24
Acute Diarrhoeal Disease,34,East Kameng,Arunachal Pradesh,17.9433334,1.301433854,21
Acute Diarrhoeal Disease,34,Janjgir,Chhattisgarh,27.73,0.76645467,17
Acute Diarrhoeal Disease,34,Kawardha,Chhattisgarh,28.07,1.24555065,11
Acute Diarrhoeal Disease,34,Kawardha,Chhattisgarh,26.4833334,0.517256696,9
Acute Diarrhoeal Disease,34,Anand,Gujarat,28.15,0.808818476,40
Acute Diarrhoeal Disease,34,Surat,Gujarat,25.19,0.371420419,43
Dengue,34,Chikkaballapur,Karnataka,29.41,0.324720394,40
Dengue,34,Ernakulam,Kerala,25.59,1.541419047,15
Acute Diarrhoeal Disease,34,Chandrapur,Maharashtra,27.44,0.546220957,84
Dengue,34,Kolhapur,Maharashtra,23.69,0.167774259,2
Acute Diarrhoeal Disease,34,Agar Malwa,Madhya Pradesh,26.92,3.024033542,221
Malaria,34,Morena,Madhya Pradesh,27.9633334,0.837839997,15
Cholera,34,Dhenkanal,Odisha,27.33,1.545526329,15
Acute Diarrhoeal Disease,34,Balasore,Odisha,29.71,1.528313406,8
Acute Diarrhoeal Disease,34,Balasore,Odisha,27.56,5.204331522,10
Acute Diarrhoeal Disease,34,Fatehgarh Sahib,Punjab,26.805,1.993092932,43
Dengue,34,Mahabubnagar,Telangana,31.01,0.148236682,32
Dengue,34,Rudraprayag,Uttarakhand,7.03,2.366893812,20
Acute Diarrhoeal Disease,34,Sheikhpura,Bihar,27.286,0.647809689,18
Acute Diarrhoeal Disease,34,Janjgir,Chhattisgarh,24.6,1.433943517,39
Malaria,34,Chandrapur,Maharashtra,26.89,0.764216675,83
Dengue,34,Purba Medinipur,West Bengal,30.94,0.68765658,428
Acute Diarrhoeal Disease,34,Mandi,Himachal Pradesh,24.474,1.048003082,87
Dengue,34,Murshidabad,West Bengal,31.23,0.741628104,480
Acute Diarrhoeal Disease,35,Darrang (Mangaldoi),Assam,27.2966666,0.679440462,7
Acute Diarrhoeal Disease,35,Mandi,Himachal Pradesh,24.73,0.956578131,42
Chikungunya,35,Kalaburagi,Karnataka,32.8966666,0.127335655,28
Dengue,35,Ahmednagar,Maharashtra,35.9833334,0.101115058,40
Dengue,35,Kolhapur,Maharashtra,30.9433334,0.261170556,5
Malaria,35,Kolhapur,Maharashtra,31.06,0.218334646,3
Cholera,35,Mayurbhanj,Odisha,27.5366666,3.454880071,13
Cholera,35,Mayurbhanj,Odisha,27.5366666,0.789748188,16
Cholera,35,Hoshiarpur,Punjab,30.07,0.159055079,72
Dengue,35,Virudhunagar- Sivakasi,Tamil Nadu,44.27,0.250501148,14
Acute Diarrhoeal Disease,35,Adilabad,Telangana,31.37,1.224324813,51
Acute Diarrhoeal Disease,35,West Medinipur,West Bengal,29.47,0.431657762,47
Dengue,35,Muzaffarpur,Bihar,32.77,0.425502498,10
Acute Diarrhoeal Disease,35,Siwan,Bihar,28.815,1.024802009,9
Dengue,35,Belagavi,Karnataka,21.81,2.487819,14
Dengue,35,Haveri,Karnataka,26.26,0.976188257,63
Dengue,35,Ahmednagar,Maharashtra,36.09,0.17914029,32
Acute Encephalitis Syndrome,35,Wardha,Maharashtra,24.17,1.531770939,9
Dengue,35,Mahaboobnagar,Telangana,30.0633334,0.409880007,32
Acute Diarrhoeal Disease,35,Gonda,Uttar Pradesh,28.1433334,0.698018196,17
Dengue,35,Purba Medinipur,West Bengal,30.94,0.68765658,464
Acute Diarrhoeal Disease,36,Marigaon,Assam,29.578,0.418375585,16
Cholera,36,Tinsukia,Assam,29.9166666,0.302422508,5
Acute Diarrhoeal Disease,36,Udhampur,Jammu and Kashmir,23.51,0.287338127,37
Malaria,36,West Singhbhum,Jharkhand,30.62,0.475625369,74
Acute Diarrhoeal Disease,36,Ashok Nagar,Madhya Pradesh,26.33,0.693974775,19
Acute Diarrhoeal Disease,36,Khurda,Odisha,27.65,1.355970819,16
Dengue,36,Puducherry,Puducherry,36.8,0.144279803,32
Acute Diarrhoeal Disease,36,Medinipur West,West Bengal,29.15,0.515884863,53
Acute Diarrhoeal Disease,36,Kangra,Himachal Pradesh,26.054,0.461887375,122
Dengue,36,Thane,Maharashtra,27.165,0.385597287,61
Malaria,36,Thane,Maharashtra,25.9833334,0.401106022,7
